geo_point,geo_shape,grid_code,source,to_node,arcid,from_node,route_length_m
"-37.803188083356325, 144.9277461409493","{""coordinates"": [[[144.92696859496894, -37.803108537785356], [144.92696834309916, -37.80311754507343], [144.9272402901405, -37.80314035562016], [144.9272513904221, -37.80314956272823], [144.92745572857717, -37.803153159274565], [144.92746682888836, -37.80316236636314], [144.92756899799295, -37.80316416449425], [144.92758009832025, -37.8031733715726], [144.92767091532164, -37.8031749698288], [144.92768201566363, -37.80318417689794], [144.92778418481217, -37.8031859748433], [144.92779528517033, -37.80319518190219], [144.92789745434135, -37.803196979749764], [144.92790855471569, -37.80320618679843], [144.92801072390918, -37.80320798454821], [144.92802182429963, -37.80321719158664], [144.9281126413801, -37.803218789503894], [144.9281237417852, -37.80322799653311], [144.92822591102268, -37.80322979409715], [144.92823701144397, -37.80323900111611], [144.92853166374633, -37.803262208148354]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2090,2248,2079,142.88792084258677
"-37.804797543295194, 144.96722575745073","{""coordinates"": [[[144.96769771522068, -37.80434117787567], [144.96769648054826, -37.80438621545682], [144.9676722937295, -37.80443986869876], [144.96768315245973, -37.80445807965882], [144.96765995336645, -37.80447570283316], [144.96767105903726, -37.80448490627843], [144.9676700712815, -37.804520936341916], [144.96765847172455, -37.80452974792801], [144.9676693304635, -37.80454795888938], [144.9676577309021, -37.80455677047521], [144.96765624925425, -37.804610815569234], [144.96764464968115, -37.80461962715337], [144.96766513247624, -37.80470108665567], [144.96764218024438, -37.80470970230807], [144.96763033370794, -37.804727521405496], [144.96764119246663, -37.804745732369526], [144.96762934592374, -37.80476355146657], [144.9676619222292, -37.80481818435636], [144.9676273703501, -37.80483561158802], [144.96760268941907, -37.804907279836], [144.96756764357386, -37.804942722077705], [144.96754469125545, -37.80495133770828], [144.96753358553363, -37.804942134250204], [144.96746546945616, -37.804940958565695], [144.96745436374601, -37.80493175510044], [144.96744276409785, -37.80494056666211], [144.96740895303586, -37.80493097128478], [144.96739735338264, -37.80493978284182], [144.96737514198296, -37.80492137589799], [144.96728506154975, -37.804892785649194], [144.96723915687852, -37.80491001679465], [144.96711427748306, -37.80490786103242], [144.96709107811392, -37.804925484085416], [144.96706837276568, -37.80492509210981], [144.96701235046459, -37.80489708961698], [144.9669669397881, -37.804896305631544], [144.9669563282066, -37.80486908709858], [144.96684280156552, -37.80486712704944], [144.96683169594607, -37.804857923527884], [144.96675222731426, -37.80485655142123], [144.96674112170797, -37.80484734789148], [144.96648050473428, -37.80482482412281], [144.96646939916747, -37.8048156205685], [144.96637857794667, -37.80481405216441]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2173,2341,2128,190.05661232789933
"-37.803957626159416, 144.91050596943313","{""coordinates"": [[[144.90936416590148, -37.80391475928513], [144.90973853151394, -37.80393041686394], [144.90974962965743, -37.80393962556056], [144.9099653198302, -37.803943454015155], [144.90997641800473, -37.803952662691266], [144.9101921082467, -37.80395649073176], [144.91020320645228, -37.80396569938736], [144.9104188967634, -37.80396952701374], [144.91042999500007, -37.80397873564884], [144.9106456853803, -37.80398256286112], [144.91065678364802, -37.803991771475694], [144.9108724740974, -37.80399559827387], [144.9108835723962, -37.80400480686795], [144.9111106150484, -37.80400883462972], [144.9112821659815, -37.80396681917974], [144.91131672992432, -37.80394940886188], [144.91151098485764, -37.803907795782045], [144.91154554872168, -37.80389038539444], [144.9116368731529, -37.80387398163902]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2174,2347,2183,205.48917665852576
"-37.80536238217826, 144.9690245013042","{""coordinates"": [[[144.9690215286974, -37.8053553128181], [144.96902128191493, -37.80536432034021], [144.96903263467001, -37.80536451614228]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2217,2370,2214,2.000000000349246
"-37.805267583723314, 144.95995159525322","{""coordinates"": [[[144.95988259769155, -37.80519733755635], [144.959971435971, -37.805270970754734], [144.95997069232786, -37.8052979931693], [144.9599590917643, -37.80530680396567], [144.96001535942497, -37.805325802273806]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2226,2380,2213,21.113086865461185
"-37.80523628432172, 144.9647847111519","{""coordinates"": [[[144.96488349073593, -37.80466205839727], [144.96487189083734, -37.80467086969839], [144.96484127248266, -37.804958717283796], [144.96482967253118, -37.80496752857885], [144.96482794151166, -37.805030581073275], [144.96481634154702, -37.80503939236656], [144.96481461051172, -37.80510244485968], [144.96480301053393, -37.80511125615117], [144.9648012794828, -37.80517430864301], [144.96478967949182, -37.80518311993271], [144.96478794842488, -37.805246172423246], [144.96477634842077, -37.80525498371117], [144.96476103892192, -37.805398907472735], [144.96474943888998, -37.805407718756996], [144.96470697223126, -37.805713385029925], [144.9646953721422, -37.80572219630683], [144.96469339364953, -37.805794256285125], [144.96468154623224, -37.805812075057304]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2269,2425,2161,131.77553143916484
"-37.80557369824787, 144.90864725499983","{""coordinates"": [[[144.90863602970305, -37.805568993036644], [144.90865848029662, -37.805578403459094]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2370,2533,2368,2.2360679793219775
"-37.805696234984374, 144.9089504655867","{""coordinates"": [[[144.9089392402511, -37.80569152980104], [144.9089616909223, -37.80570094016771]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2397,2567,2393,2.236067978176602
"-37.8056588958859, 144.9088776915027","{""coordinates"": [[[144.9088834947328, -37.805654493095524], [144.9088718882726, -37.805663298676265]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2384,2550,2383,1.4142135626612082
"-37.80632549274327, 144.96154757957282","{""coordinates"": [[[144.96159751273328, -37.806029082930024], [144.96158591223738, -37.80603789388798], [144.9615839307008, -37.80610995372297], [144.96157233019022, -37.80611876467905], [144.96155701423217, -37.8062626878195], [144.96154541369376, -37.806271498771935], [144.96157872913366, -37.80629911078516], [144.9615520602672, -37.80644283739499], [144.96152762061516, -37.80650549668762], [144.96143407274448, -37.80660300667022]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2392,2559,2308,69.52259681718246
