geo_point,geo_shape,suburb_id,latitude,street_no,str_name,address_pnt,easting,northing,gisid,longitude,suburb,street_id,add_comp,missing_street_number_flag,missing_street_name_flag,missing_suburb_flag,missing_suburb_id_flag,address_completeness
"-37.813147677702, 144.946194062465","{""coordinates"": [144.946194062465, -37.813147677702], ""type"": ""Point""}",599,-37.81314768,207,Wurundjeri Way,207 Wurundjeri Way  Docklands,319215.05990399,5812929.30518928,1896,144.94619406,Docklands,117786,,False,False,False,False,Complete
"-37.819265110109, 144.960044509289","{""coordinates"": [144.960044509289, -37.819265110109], ""type"": ""Point""}",591,-37.81926511,8,William Street,8 William Street  Melbourne,320449.19111195,5812277.19412031,26352,144.96004451,Melbourne,1179,,False,False,False,False,Complete
"-37.795677466784, 144.965516697093","{""coordinates"": [144.965516697093, -37.795677466784], ""type"": ""Point""}",585,-37.79567747,22,Palmerston Place,22 Palmerston Place  Carlton,320873.88981579,5814905.1265816,12075,144.9655167,Carlton,954,,False,False,False,False,Complete
"-37.818638777736, 144.949804324882","{""coordinates"": [144.949804324882, -37.818638777736], ""type"": ""Point""}",599,-37.81863878,78,Aurora Lane,78 Aurora Lane  Docklands,319546.25888432,5812326.95920892,22954,144.94980432,Docklands,117945,,False,False,False,False,Complete
"-37.804909279204, 144.961520120385","{""coordinates"": [144.961520120385, -37.804909279204], ""type"": ""Point""}",585,-37.80490928,69,Bouverie Street,69 Bouverie Street  Carlton,320544.32214094,5813873.04097484,11605,144.96152012,Carlton,456,,False,False,False,False,Complete
"-37.810969066183, 144.947399770309","{""coordinates"": [144.947399770309, -37.810969066183], ""type"": ""Point""}",597,-37.81096907,254,Dudley Street,254 Dudley Street  West Melbourne,319315.89100783,5813173.39075384,1427,144.94739977,West Melbourne,586,,False,False,False,False,Complete
"-37.813750115472, 144.95354381616","{""coordinates"": [144.95354381616, -37.813750115472], ""type"": ""Point""}",591,-37.81375012,611,Little Lonsdale Street,611 Little Lonsdale Street  Melbourne,319863.55083749,5812876.65495524,47547,144.95354382,Melbourne,825,,False,False,False,False,Complete
"-37.805376500456, 144.946952627645","{""coordinates"": [144.946952627645, -37.805376500456], ""type"": ""Point""}",597,-37.8053765,20,Silk Place,20 Silk Place  West Melbourne,319262.88850591,5813793.11215932,52471,144.94695263,West Melbourne,1432,,False,False,False,False,Complete
"-37.815615653178, 144.96562454361","{""coordinates"": [144.96562454361, -37.815615653178], ""type"": ""Point""}",591,-37.81561565,246,Collins Street,246 Collins Street  Melbourne,320931.56074437,5812692.87349591,34293,144.96562454,Melbourne,526,,False,False,False,False,Complete
"-37.813685840756, 144.95991537173","{""coordinates"": [144.95991537173, -37.813685840756], ""type"": ""Point""}",591,-37.81368584,219,Queen Street,219 Queen Street  Melbourne,320424.3018236,5812896.05626653,29884,144.95991537,Melbourne,1010,,False,False,False,False,Complete
"-37.779694923177, 144.958521275727","{""coordinates"": [144.958521275727, -37.779694923177], ""type"": ""Point""}",593,-37.77969492,320,The Avenue,320 The Avenue  Parkville,320219.17626533,5816665.20878582,18618,144.95852128,Parkville,405,,False,False,False,False,Complete
"-37.792651129179, 144.918968470685","{""coordinates"": [144.918968470685, -37.792651129179], ""type"": ""Point""}",590,-37.79265113,8,Cakebread Mews,8 Cakebread Mews  Kensington,316767.62479514,5815150.69466881,59081,144.91896847,Kensington,1403,,False,False,False,False,Complete
"-37.808853721999, 144.951917742551","{""coordinates"": [144.951917742551, -37.808853721999], ""type"": ""Point""}",597,-37.80885372,473,King Street,473 King Street  West Melbourne,319708.49066765,5813416.85231564,29565,144.95191774,West Melbourne,761,,False,False,False,False,Complete
"-37.820777888945, 144.952677975327","{""coordinates"": [144.952677975327, -37.820777888945], ""type"": ""Point""}",599,-37.82077789,20,Wurundjeri Way,20 Wurundjeri Way  Docklands,319804.42141301,5812095.13833146,2049,144.95267798,Docklands,117786,,False,False,False,False,Complete
"-37.810793037663, 144.957139178572","{""coordinates"": [144.957139178572, -37.810793037663], ""type"": ""Point""}",591,-37.81079304,25,Wills Street,25 Wills Street  Melbourne,320172.88535408,5813211.71864565,42918,144.95713918,Melbourne,1180,,False,False,False,False,Complete
"-37.779317799574, 144.962795468097","{""coordinates"": [144.962795468097, -37.779317799574], ""type"": ""Point""}",0,-37.7793178,88,Bowen Crescent,88 Bowen Crescent,320594.70694314,5816715.26845836,23225,144.96279547,,457,,False,False,True,False,Partial
"-37.802869442881, 144.9466688305","{""coordinates"": [144.9466688305, -37.802869442881], ""type"": ""Point""}",592,-37.80286944,621,Queensberry Street,621 Queensberry Street  North Melbourne,319231.78829701,5814070.76188434,57977,144.94666883,North Melbourne,1008,,False,False,False,False,Complete
"-37.80788410667, 144.945586707649","{""coordinates"": [144.945586707649, -37.80788410667], ""type"": ""Point""}",597,-37.80788411,9,Ireland Street,9 Ireland Street  West Melbourne,319148.74748914,5813512.20887171,50761,144.94558671,West Melbourne,737,,False,False,False,False,Complete
"-37.814974381663, 144.95341393156","{""coordinates"": [144.95341393156, -37.814974381663], ""type"": ""Point""}",591,-37.81497438,637,Lonsdale Street,637 Lonsdale Street  Melbourne,319855.09309268,5812740.55224241,2787,144.95341393,Melbourne,803,,False,False,False,False,Complete
"-37.817511151176, 144.980539341764","{""coordinates"": [144.980539341764, -37.817511151176], ""type"": ""Point""}",587,-37.81751115,22,Palmer Street,22 Palmer Street  East Melbourne,322249.06520441,5812511.02800615,3932,144.98053934,East Melbourne,953,,False,False,False,False,Complete
"-37.810684862783, 144.950094861628","{""coordinates"": [144.950094861628, -37.810684862783], ""type"": ""Point""}",597,-37.81068486,419,Spencer Street,419 Spencer Street  West Melbourne,319552.46495606,5813210.13759806,35807,144.95009486,West Melbourne,1086,,False,False,False,False,Complete
"-37.814953249827, 144.952477821563","{""coordinates"": [144.952477821563, -37.814953249827], ""type"": ""Point""}",591,-37.81495325,676,Lonsdale Street,676 Lonsdale Street  Melbourne,319772.63450797,5812741.09118946,16768,144.95247782,Melbourne,803,,False,False,False,False,Complete
"-37.817070617031, 144.959029177325","{""coordinates"": [144.959029177325, -37.817070617031], ""type"": ""Point""}",591,-37.81707062,92,William Street,92 William Street  Melbourne,320354.49408773,5812518.75631249,26435,144.95902918,Melbourne,1179,,False,False,False,False,Complete
"-37.794881444783, 144.941636192783","{""coordinates"": [144.941636192783, -37.794881444783], ""type"": ""Point""}",592,-37.79488144,33,Melrose Street,33 Melrose Street  North Melbourne,318769.15897624,5814947.41064651,42025,144.94163619,North Melbourne,890,,False,False,False,False,Complete
"-37.809559585134, 144.985380336909","{""coordinates"": [144.985380336909, -37.809559585134], ""type"": ""Point""}",587,-37.80955958,416,Victoria Parade,416 Victoria Parade  East Melbourne,322656.1796823,5813402.58172599,7736,144.98538034,East Melbourne,1151,,False,False,False,False,Complete
"-37.814157986377, 144.95452130024","{""coordinates"": [144.95452130024, -37.814157986377], ""type"": ""Point""}",591,-37.81415799,255,King Street,255 King Street  Melbourne,319950.59271416,5812833.27982,29660,144.9545213,Melbourne,761,,False,False,False,False,Complete
"-37.824463333617, 144.943133283197","{""coordinates"": [144.943133283197, -37.824463333617], ""type"": ""Point""}",599,-37.82446333,92,Lorimer Street,92 Lorimer Street  Docklands,318973.25946944,5811667.71715804,46664,144.94313328,Docklands,1370,,False,False,False,False,Complete
"-37.827892638103, 144.966198820951","{""coordinates"": [144.966198820951, -37.827892638103], ""type"": ""Point""}",596,-37.82789264,159,Sturt Street,159 Sturt Street  Southbank,321011.78074044,5811331.64390591,17918,144.96619882,Southbank,364,,False,False,False,False,Complete
"-37.804957192005, 144.950619968347","{""coordinates"": [144.950619968347, -37.804957192005], ""type"": ""Point""}",592,-37.80495719,3,Leveson Street,3 Leveson Street  North Melbourne,319584.75161525,5813846.72999698,55873,144.95061997,North Melbourne,791,,False,False,False,False,Complete
"-37.819359472436, 144.960088220189","{""coordinates"": [144.960088220189, -37.819359472436], ""type"": ""Point""}",591,-37.81935947,4,William Street,4 William Street  Melbourne,320453.2674654,5812266.80705829,26354,144.96008822,Melbourne,1179,,False,False,False,False,Complete
"-37.840146528932, 144.906449053658","{""coordinates"": [144.906449053658, -37.840146528932], ""type"": ""Point""}",594,-37.84014653,,Webb Dock,Berth 1 Webb Dock  Port Melbourne,315783.31095634,5809855.64236735,36287,144.90644905,Port Melbourne,2950,Berth 1,True,False,False,False,Partial
"-37.792934683128, 144.955744413947","{""coordinates"": [144.955744413947, -37.792934683128], ""type"": ""Point""}",593,-37.79293468,125,Gatehouse Street,125 Gatehouse Street  Parkville,320006.73994237,5815190.70378067,46139,144.95574441,Parkville,649,,False,False,False,False,Complete
"-37.837694518795, 144.98258214301","{""coordinates"": [144.98258214301, -37.837694518795], ""type"": ""Point""}",595,-37.83769452,1,Leopold Street,1 Leopold Street  South Yarra,322477.27318731,5810275.24584294,61211,144.98258214,South Yarra,790,,False,False,False,False,Complete
"-37.823056248436, 144.96314832422","{""coordinates"": [144.96314832422, -37.823056248436], ""type"": ""Point""}",596,-37.82305625,126,City Road,126 City Road  Southbank,320731.58299071,5811862.4684044,50353,144.96314832,Southbank,1345,,False,False,False,False,Complete
"-37.810673699751, 144.961701244333","{""coordinates"": [144.961701244333, -37.810673699751], ""type"": ""Point""}",591,-37.8106737,358,Elizabeth Street,358 Elizabeth Street  Melbourne,320574.2243607,5813233.73393282,38629,144.96170124,Melbourne,599,,False,False,False,False,Complete
"-37.819863244444, 144.941233425103","{""coordinates"": [144.941233425103, -37.819863244444], ""type"": ""Point""}",599,-37.81986324,97,Victoria Harbour Promenade,97 Victoria Harbour Promenade  Docklands,318794.78094468,5812174.48885866,63632,144.94123343,Docklands,119527,,False,False,False,False,Complete
"-37.801348558909, 144.959833379759","{""coordinates"": [144.959833379759, -37.801348558909], ""type"": ""Point""}",585,-37.80134856,112,Barry Street,112 Barry Street  Carlton,320387.1883465,5814264.9185065,58290,144.95983338,Carlton,421,,False,False,False,False,Complete
"-37.797635089301, 144.928599675279","{""coordinates"": [144.928599675279, -37.797635089301], ""type"": ""Point""}",590,-37.79763509,88,Derby Street,88 Derby Street  Kensington,317627.99282968,5814616.4839606,36232,144.92859968,Kensington,569,,False,False,False,False,Complete
"-37.816462591361, 144.969085036005","{""coordinates"": [144.969085036005, -37.816462591361], ""type"": ""Point""}",591,-37.81646259,5,Hosier Lane,5 Hosier Lane  Melbourne,321238.23324825,5812605.52102062,4135,144.96908504,Melbourne,722,,False,False,False,False,Complete
"-37.801444391497, 144.965131422818","{""coordinates"": [144.965131422818, -37.801444391497], ""type"": ""Point""}",585,-37.80144439,225,Cardigan Street,225 Cardigan Street  Carlton,320853.89985656,5814264.4563305,25876,144.96513142,Carlton,483,,False,False,False,False,Complete
"-37.790613115214, 144.937904385728","{""coordinates"": [144.937904385728, -37.790613115214], ""type"": ""Point""}",592,-37.79061312,91,Alfred Street,91 Alfred Street  North Melbourne,318430.1017363,5815413.80661977,22497,144.93790439,North Melbourne,119625,,False,False,False,False,Complete
