_id,geo_point_2d,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,carrying,operator,diameter,material,height_mm,form,mat_desc,dnstr_inv
6930,"-37.79529850797658, 144.93398618788927","{""coordinates"": [[144.93389499545182, -37.795287244412776], [144.93407738032676, -37.795309771540396]], ""type"": ""LineString""}",1963-01-01,,,,1580105,0,3.76553719851447,Stormwater,City of Melbourne,225,Concrete,0,Pipe,,
6931,"-37.81330265885691, 144.96536222155675","{""coordinates"": [[144.96540002682394, -37.813292242963364], [144.96532441628955, -37.81331307475047]], ""type"": ""LineString""}",2014-08-14,,,,1580141,0,4.98016447264943,Stormwater,City of Melbourne,225,Plastic,0,Pipe,,
6932,"-37.84834953297747, 144.98445477346183","{""coordinates"": [[144.98450356644125, -37.84835474453529], [144.98440598048245, -37.84834432141965]], ""type"": ""LineString""}",2014-07-18,,,,1580145,0,4.97830845086685,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6933,"-37.84830104419517, 144.98405054676897","{""coordinates"": [[144.98440598048245, -37.84834432141965], [144.98369511305552, -37.84825776697069]], ""type"": ""LineString""}",2014-07-18,,,,1580146,0,4.97830845044809,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6934,"-37.8483511699923, 144.984404591592","{""coordinates"": [[144.98440320270163, -37.848358018564944], [144.98440598048245, -37.84834432141965]], ""type"": ""LineString""}",2014-07-18,,,,1580143,0,4.9783084517276,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6935,"-37.8481372036699, 144.98271124897792","{""coordinates"": [[144.98304460448477, -37.84817775134821], [144.98237789347104, -37.84809665599159]], ""type"": ""LineString""}",2014-07-18,,,,1580148,0,4.98006722396651,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6936,"-37.83513356489363, 144.97821032880313","{""coordinates"": [[144.97805086937288, -37.835109229322704], [144.97805927760078, -37.83511397963891], [144.97835711998445, -37.83515285988674], [144.97837091487838, -37.83515100785217]], ""type"": ""LineString""}",2014-08-08,,,,1580136,0,4.98131036084398,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6937,"-37.834728132295595, 144.97510685362667","{""coordinates"": [[144.97506513647414, -37.83471945125488], [144.97507366035123, -37.83472420196898], [144.9751403312156, -37.834732906852295], [144.97514936732628, -37.834730435344994]], ""type"": ""LineString""}",2014-08-08,,,,1580116,0,4.98131036890322,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6938,"-37.834741805270625, 144.97521018367416","{""coordinates"": [[144.97514936732628, -37.834730435344994], [144.97515581204476, -37.83473492950486], [144.97526493563413, -37.834749175846305], [144.97527182169068, -37.83474642223223]], ""type"": ""LineString""}",2014-08-08,,,,1580118,0,4.98131036812296,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6939,"-37.834853591323814, 144.97611929790153","{""coordinates"": [[144.97596285446954, -37.83483916463213], [144.97597394858423, -37.83483443945966], [144.9762666210315, -37.83487265033067], [144.9762754706948, -37.83487745792589]], ""type"": ""LineString""}",2014-08-08,,,,1580122,0,4.98131036645553,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
