_id,asset_number,asset_description,construction_material_lupvalue,grate_length,grate_material_lupvalue,grate_width,model_descr_lupvalue,model_no_lupvalue,object_type_lupvalue,overflow_kerb_lupvalue,lat,lon,location
1,1596911,SWD Pit - Grated Manhole,Brick,,Cast Iron,,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.79290628271831,144.95653615629308,"-37.79290628271831, 144.95653615629308"
2,1759114,SWD Pit - Lane Type,In Situ Concrete,450,Mild Steel,450,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.81364319503544,144.96760262284465,"-37.81364319503544, 144.96760262284465"
3,1150456,SWD Pit - System Node,Brick,0,None,0,SWD Pit - System Node,300414-000,System Node,None,-37.81517520847289,144.96350385914948,"-37.81517520847289, 144.96350385914948"
4,1146866,SWD Pit - Lane Type,In Situ Concrete,550,Mild Steel,550,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79321210088348,144.95617023562534,"-37.79321210088348, 144.95617023562534"
5,1146782,SWD Pit - Grated Side Entry,Brick,900,Mild Steel,430,SWD Pit - Grated Side Entry Pit - Non Standard Frame and Grate,300402-003,Grated Side Entry,None,-37.79375834585664,144.95548209270686,"-37.79375834585664, 144.95548209270686"
6,1812661,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.79259572144807,144.95764183000955,"-37.79259572144807, 144.95764183000955"
7,1599211,SWD Pit - Lane Type,In Situ Concrete,640,Mild Steel,640,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.789361437879435,144.9575248981374,"-37.789361437879435, 144.9575248981374"
8,1597443,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.78828254644331,144.95867879903517,"-37.78828254644331, 144.95867879903517"
9,1812652,SWD Pit - Submerged,Not Known,,,,SWD Pit - Submerged,300415-000,Submerged,None,-37.79278352020564,144.95594288577578,"-37.79278352020564, 144.95594288577578"
10,1567027,SWD Pit - Lane Type,In Situ Concrete,560,Mild Steel,560,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79458712414188,144.9538456072215,"-37.79458712414188, 144.9538456072215"
11,1618916,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Exposed Aggregate,-37.793652964461224,144.9565705466886,"-37.793652964461224, 144.9565705466886"
12,1149831,SWD Pit - Pipe to Pipe,Other,,,,SWD Pit - Pipe to Pipe,300419-000,Pipe to Pipe,None,-37.79239863929917,144.95859333498052,"-37.79239863929917, 144.95859333498052"
13,1146736,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.792633697885925,144.9576855274218,"-37.792633697885925, 144.9576855274218"
14,1145766,SWD Pit - Grated OFK,Precast Concrete,920,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 915x381 Frame and Grate",300405-004,Grated OFK,Concrete,-37.820702849378506,144.92460718694366,"-37.820702849378506, 144.92460718694366"
15,1147477,SWD Pit - Grated OFK,Cast Iron Concrete Infill,930,Cast Iron,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.81825402697499,144.97887749932303,"-37.81825402697499, 144.97887749932303"
16,1810678,SWD Pit - Submerged,Not Known,,,,SWD Pit - Submerged,300415-000,Submerged,None,-37.794919488729114,144.95418337750567,"-37.794919488729114, 144.95418337750567"
17,1151668,SWD Pit - System Node,Brick,0,None,0,SWD Pit - System Node,300414-000,System Node,None,-37.78314238186087,144.96326889574712,"-37.78314238186087, 144.96326889574712"
18,1146731,SWD Pit - Lane Type,Brick,500,Mild Steel,500,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.7925847483328,144.95685333477806,"-37.7925847483328, 144.95685333477806"
19,1146734,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Exposed Aggregate,-37.79264131917708,144.9578184116093,"-37.79264131917708, 144.9578184116093"
20,1141274,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.82384850200414,144.96050122046205,"-37.82384850200414, 144.96050122046205"
21,1152937,SWD Pit - Not Known,Precast Concrete,0,Not Known,0,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.77875860286445,144.94861538236407,"-37.77875860286445, 144.94861538236407"
22,1146732,SWD Pit - Grated OFK,In Situ Concrete,900,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Exposed Aggregate,-37.792777141457734,144.95700350046536,"-37.792777141457734, 144.95700350046536"
23,1146705,SWD Pit - Lane Type,In Situ Concrete,500,Mild Steel,500,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.78944275331832,144.95751618625206,"-37.78944275331832, 144.95751618625206"
24,1812657,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.78629442643845,144.9579233175774,"-37.78629442643845, 144.9579233175774"
25,1146723,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Exposed Aggregate,-37.787785585773356,144.9586706728545,"-37.787785585773356, 144.9586706728545"
26,1590617,SWD Pit - Lane Type,In Situ Concrete,680,Mild Steel,600,SWD Pit - Laneway Type - 600x600 Frame and Grate,300407-002,Lane Type,None,-37.79418298983747,144.965431983621,"-37.79418298983747, 144.965431983621"
27,1152336,SWD Pit - Not Known,Precast Concrete,0,Not Known,0,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.80358813058902,144.92387862550757,"-37.80358813058902, 144.92387862550757"
28,1145466,SWD Pit - Side Entry,Precast Concrete,,,,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,Gatic Side Entry,-37.82468774478835,144.93870443399274,"-37.82468774478835, 144.93870443399274"
29,1599084,SWD Pit - Lane Type,In Situ Concrete,500,Mild Steel,500,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81144800540479,144.96455498661857,"-37.81144800540479, 144.96455498661857"
30,1151298,SWD Pit - Other,Precast Concrete,0,None,0,SWD Pit - Other,300417-000,Other,Not Known,-37.823618459975435,144.94297338268382,"-37.823618459975435, 144.94297338268382"
31,1151291,SWD Pit - System Node,Precast Concrete,,,,SWD Pit - System Node,300414-000,System Node,None,-37.8250424928207,144.9421586722665,"-37.8250424928207, 144.9421586722665"
32,1142526,SWD Pit - Grated OFK,Brick,1000,Mild Steel,630,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.83757536868095,144.9817317578859,"-37.83757536868095, 144.9817317578859"
33,1140317,SWD Pit - Grated OFK,Brick,900,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.81886126998335,144.95420296959796,"-37.81886126998335, 144.95420296959796"
34,1145432,SWD Pit - Lane Type,Brick,1280,Mild Steel,1000,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79511188847633,144.93530969231696,"-37.79511188847633, 144.93530969231696"
35,1578324,SWD Pit - Grated Manhole,Galvanised Steel,900,Mild Steel,600,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.82184081260558,144.93683950928116,"-37.82184081260558, 144.93683950928116"
36,1145462,SWD Pit - Side Entry,Precast Concrete,,,,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,None,-37.82391955533016,144.9377454761786,"-37.82391955533016, 144.9377454761786"
37,1152924,SWD Pit - Not Known,Precast Concrete,0,Not Known,0,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.82505305909113,144.9423352709678,"-37.82505305909113, 144.9423352709678"
38,1153804,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.823042100901894,144.9418303591192,"-37.823042100901894, 144.9418303591192"
39,1646848,SWD Pit - Grated OFK,In Situ Concrete,900,Cast Iron,750,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.8065750529355,144.94286648055737,"-37.8065750529355, 144.94286648055737"
40,1151299,SWD Pit - Other,Precast Concrete,0,None,0,SWD Pit - Other,300417-000,Other,Not Known,-37.82531321463122,144.94227782825374,"-37.82531321463122, 144.94227782825374"
41,1153809,SWD Pit - Grated Manhole,In Situ Concrete,,Mild Steel,,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.823023082540644,144.9410673294218,"-37.823023082540644, 144.9410673294218"
42,1759177,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.80696924390072,144.9674973486605,"-37.80696924390072, 144.9674973486605"
43,1153803,SWD Pit - Grated Manhole,In Situ Concrete,,Mild Steel,,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.823212289642605,144.94207022912653,"-37.823212289642605, 144.94207022912653"
44,1452462,Grated Manhole,Brick,,,,SWD Pit - Not Known,,Grated Manhole,,-37.782306022851756,144.96343197126902,"-37.782306022851756, 144.96343197126902"
45,1145468,SWD Pit - Side Entry,Precast Concrete,,,,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,Gatic Side Entry,-37.825143054615886,144.9396075827779,"-37.825143054615886, 144.9396075827779"
46,1147294,SWD Pit - Grated OFK,Cast Iron Concrete Infill,860,Cast Iron,715,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.81224903604491,144.9883664960588,"-37.81224903604491, 144.9883664960588"
47,1739351,SWD Pit - Grated Kerbside,Concrete,937,Cast Iron,549,SWD Pit - Grated Kerbside Pit - 937x549 Frame and Grate,300404-002,Grated Kerbside,None,-37.81732896262422,144.95967464330388,"-37.81732896262422, 144.95967464330388"
48,1472810,Grated Kerbside,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Kerbside,,-37.831028022923206,144.97380233060662,"-37.831028022923206, 144.97380233060662"
49,1452625,Not Known,Precast Concrete,,,,SWD Pit - Not Known,,Not Known,,-37.782382969509584,144.9495059720505,"-37.782382969509584, 144.9495059720505"
50,1752987,SWD Pit - Grated Manhole,Concrete,937,Cast Iron,549,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.8132697366761,144.98753466103577,"-37.8132697366761, 144.98753466103577"
51,1557338,SWD Pit - Grated Pit,,,,,,300417-000,Junction,,-37.79738504141068,144.97397230441373,"-37.79738504141068, 144.97397230441373"
52,1452604,Grated Manhole,Precast Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.782034971104046,144.9561290267189,"-37.782034971104046, 144.9561290267189"
53,1144696,SWD Pit - Grated OFK,Precast Concrete,920,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.79922276297928,144.9350674572064,"-37.79922276297928, 144.9350674572064"
54,1145199,SWD Pit - Grated Kerbside,Precast Concrete,938,Mild Steel,545,SWD Pit - Grated Kerbside Pit - 937x549 Frame and Grate,300404-002,Grated Kerbside,None,-37.795853786856696,144.9187355623391,"-37.795853786856696, 144.9187355623391"
55,1585127,SWD Pit - Grated Manhole,Concrete,800,Mild Steel,800,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.790508029280346,144.92052603216743,"-37.790508029280346, 144.92052603216743"
56,1143312,SWD Pit - Grated Kerbside,In Situ Concrete,930,Mild Steel,600,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.81540307619039,144.9705374031186,"-37.81540307619039, 144.9705374031186"
57,1729833,SWD Pit - Grated OFK,Precast Concrete,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.805801101291536,144.96166117465026,"-37.805801101291536, 144.96166117465026"
58,1140709,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.80818672680131,144.9690011175379,"-37.80818672680131, 144.9690011175379"
59,1452533,Grated Manhole,Precast Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.78530402506476,144.95979497776622,"-37.78530402506476, 144.95979497776622"
60,1770042,SWD Pit - Other,Not Known,,,,SWD Pit - Other,,Not Known,,-37.83917800024906,144.97823293834412,"-37.83917800024906, 144.97823293834412"
61,1517177,SWD Pit - Grated OFK,Cast Iron Concrete Infill,935,Cast Iron,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.8161907542386,144.976457113671,"-37.8161907542386, 144.976457113671"
62,1148485,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.80648698855526,144.96279131793418,"-37.80648698855526, 144.96279131793418"
63,1147300,SWD Pit - Grated OFK,Cast Iron Concrete Infill,930,Cast Iron,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.81279897572594,144.98333746482538,"-37.81279897572594, 144.98333746482538"
64,1143000,SWD Pit - Grated OFK,In Situ Concrete,900,Mild Steel,430,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.81657024774184,144.9669519659863,"-37.81657024774184, 144.9669519659863"
65,1144647,SWD Pit - Lane Type,Precast Concrete,510,Mild Steel,510,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79657806711222,144.93443937497594,"-37.79657806711222, 144.93443937497594"
66,1140986,SWD Pit - Grated OFK,In Situ Concrete,900,Mild Steel,430,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.81176396914568,144.96748763334028,"-37.81176396914568, 144.96748763334028"
67,1140393,SWD Pit - Grated Kerbside,In Situ Concrete,930,Mild Steel,600,SWD Pit - Grated Kerbside Pit - 937x549 Frame and Grate,300404-002,Grated Kerbside,None,-37.818871905577346,144.96221125719586,"-37.818871905577346, 144.96221125719586"
68,1376084,Grated Manhole,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.828716450062,144.97411313916655,"-37.828716450062, 144.97411313916655"
69,1140096,SWD Pit - Lane Type,Brick,600,Mild Steel,600,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81425146377751,144.95970666931657,"-37.81425146377751, 144.95970666931657"
70,1152357,SWD Pit - Not Known,Precast Concrete,0,Not Known,0,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.80069115051759,144.9206669221928,"-37.80069115051759, 144.9206669221928"
71,1153020,SWD Pit - Not Known,Precast Concrete,0,Not Known,0,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.82589653399995,144.98702477286346,"-37.82589653399995, 144.98702477286346"
72,1376282,Junction Pit,In Situ Concrete,,,,SWD Pit - Not Known,,Junction,,-37.8227585636978,144.97500702726978,"-37.8227585636978, 144.97500702726978"
73,1363841,SWD Pit - Grated Kerbside,Not Known,630,Mild Steel,630,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.7788600192253,144.9423866045976,"-37.7788600192253, 144.9423866045976"
74,1376173,Grated Manhole,Brick,,,,SWD Pit - Not Known,,Grated Manhole,,-37.824115606280195,144.9734858446972,"-37.824115606280195, 144.9734858446972"
75,1140567,SWD Pit - Grated OFK,Brick,910,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 915x381 Frame and Grate",300405-001,Grated OFK,Bluestone,-37.816580509312075,144.9573756898873,"-37.816580509312075, 144.9573756898873"
76,1144016,SWD Pit - Grated OFK,Precast Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.798260929731924,144.94551086447444,"-37.798260929731924, 144.94551086447444"
77,1562065,SWD Pit - Lane Type,Cast Iron Concrete Infill,350,Cast Iron,345,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.820588913825965,144.9631278528448,"-37.820588913825965, 144.9631278528448"
78,1472943,Grated Side Entry Pit,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Side Entry,,-37.82747219718962,144.97170024011865,"-37.82747219718962, 144.97170024011865"
79,1142820,SWD Pit - Grated OFK,Brick,900,Mild Steel,430,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.812995319865024,144.96907437937443,"-37.812995319865024, 144.96907437937443"
80,1154630,SWD Pit - Other,Not Known,,None,,,,Other,None,-37.81063026879105,144.98249457445465,"-37.81063026879105, 144.98249457445465"
81,1149741,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.805110420232516,144.94182731693556,"-37.805110420232516, 144.94182731693556"
82,1140114,SWD Pit - Lane Type,Brick,650,Mild Steel,650,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.81514438940803,144.95810264566208,"-37.81514438940803, 144.95810264566208"
83,1744176,SWD Pit - Not Known,Not Known,,,,,300418-000,Not Known,,-37.78605651105374,144.95410125567335,"-37.78605651105374, 144.95410125567335"
84,1363450,SWD Pit - Grated OFK,In Situ Concrete,900,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 915x381 Frame and Grate",300405-004,Grated OFK,Concrete,-37.79529708438269,144.93879791477636,"-37.79529708438269, 144.93879791477636"
85,1759262,SWD Pit - Lane Type,In Situ Concrete,850,Mild Steel,850,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.81697996779309,144.96789427453595,"-37.81697996779309, 144.96789427453595"
86,1154638,SWD Pit - Other,Not Known,,None,,,,Other,None,-37.81132869777471,144.98020352401204,"-37.81132869777471, 144.98020352401204"
87,1142355,SWD Pit - Undershot Pit,Brick,730,Mild Steel,700,SWD Pit - Undershot Pit - Non Standard Frame and Grate,300408-001,Undershot Pit,Not Known,-37.83079231003851,144.9861365944759,"-37.83079231003851, 144.9861365944759"
88,1474284,Junction,Not Known,,,,SWD Pit - Not Known,300401-000,Junction,,-37.81913660293352,144.97418209160074,"-37.81913660293352, 144.97418209160074"
89,1794204,SWD Pit - Grated OFK,In Situ Concrete,1000,Mild Steel,640,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.82231963367589,144.94915875590033,"-37.82231963367589, 144.94915875590033"
90,1140278,SWD Pit - Lane Type,Precast Concrete,680,Mild Steel,680,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.814644439434055,144.95705964493942,"-37.814644439434055, 144.95705964493942"
91,1143098,SWD Pit - Grated Kerbside,Brick,900,Mild Steel,430,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.8154564390576,144.97226431579523,"-37.8154564390576, 144.97226431579523"
92,1154748,SWD Pit - Junction,Not Known,,None,,,,Junction,None,-37.81470121237461,144.98022656644542,"-37.81470121237461, 144.98022656644542"
93,1144164,SWD Pit - Grated OFK,Brick,938,Mild Steel,545,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.79389287148679,144.94745070843948,"-37.79389287148679, 144.94745070843948"
94,1452720,Grated Manhole,Precast Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.78202803579695,144.94873197999542,"-37.78202803579695, 144.94873197999542"
95,1444107,SWD Pit - Grated OFK,Cast Iron Concrete Infill,930,Cast Iron,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.80971424758804,144.97810899755314,"-37.80971424758804, 144.97810899755314"
96,1472748,Grated Kerbside,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Kerbside,,-37.83199268436318,144.97388865174858,"-37.83199268436318, 144.97388865174858"
97,1141064,SWD Pit - Lane Type,Brick,485,Mild Steel,485,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.812488557600204,144.96503257461995,"-37.812488557600204, 144.96503257461995"
98,1144275,SWD Pit - Grated Kerbside,Brick,930,Mild Steel,600,SWD Pit - Grated Kerbside Pit - 937x549 Frame and Grate,300404-002,Grated Kerbside,None,-37.79852600256804,144.93791305405426,"-37.79852600256804, 144.93791305405426"
99,1658804,SWD Pit - Junction,Brick,0,None,0,SWD Pit - Junction Pit - 600x600 Class C Gatic,300410-003,Junction,None,-37.82627281878443,144.9632329923619,"-37.82627281878443, 144.9632329923619"
100,1150785,SWD Pit - System Node,Brick,0,None,0,SWD Pit - System Node,300414-000,System Node,None,-37.824587071301266,144.98885688684732,"-37.824587071301266, 144.98885688684732"
101,1511509,SWD Pit - Lane Type,Cast Iron Concrete Infill,350,Cast Iron,350,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.82073716213948,144.96205532523467,"-37.82073716213948, 144.96205532523467"
102,1140437,SWD Pit - Lane Type,Brick,510,Mild Steel,490,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81917252430025,144.95745168998081,"-37.81917252430025, 144.95745168998081"
103,1141894,SWD Pit - Lane Type,In Situ Concrete,530,Mild Steel,530,SWD Pit - Laneway Type - 450x450 Frame and Grate,300407-001,Lane Type,None,-37.81908231140545,144.962418474414,"-37.81908231140545, 144.962418474414"
104,1453387,Not Known,Not Known,,,,SWD Pit - Not Known,,Not Known,,-37.82345990653327,144.97205151724592,"-37.82345990653327, 144.97205151724592"
105,1146418,SWD Pit - Grated OFK,Brick,910,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 915x381 Frame and Grate",300405-001,Grated OFK,Bluestone,-37.801007742913704,144.93275751002682,"-37.801007742913704, 144.93275751002682"
106,1140401,SWD Pit - Lane Type,In Situ Concrete,500,Mild Steel,500,SWD Pit - Laneway Type - 450x450 Frame and Grate,300407-001,Lane Type,None,-37.8175244863849,144.9613376982857,"-37.8175244863849, 144.9613376982857"
107,1785333,SWD Pit - Not Known,Not Known,0,None,0,SWD Pit - Not Known,300418-000,Not Known,None,-37.82612005365884,144.96807721983959,"-37.82612005365884, 144.96807721983959"
108,1452480,Grated Manhole,Precast Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.78366899324251,144.96356896600506,"-37.78366899324251, 144.96356896600506"
109,1472836,Grated Manhole,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.8293486458782,144.9727793544997,"-37.8293486458782, 144.9727793544997"
110,1755518,SWD Pit - Double Grated OFK,Concrete,937,Cast Iron,549,"SWD Pit - Double Grated Overflow Kerb Pit - Bluestone Kerb, 2/937x549 Frame and Grate",300406-001,Double Grated OFK,Bluestone,-37.80416278529907,144.96051227722117,"-37.80416278529907, 144.96051227722117"
111,1376032,Grated Manhole,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.84033066930892,144.97994291944326,"-37.84033066930892, 144.97994291944326"
112,1147981,SWD Pit - Grated Side Entry,Brick,900,Mild Steel,430,SWD Pit - Grated Side Entry Pit - 915x381 Frame and Grate,300402-001,Grated Side Entry,None,-37.795106954639955,144.97078498036254,"-37.795106954639955, 144.97078498036254"
113,1147762,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.796176961279585,144.97042101820003,"-37.796176961279585, 144.97042101820003"
114,1143130,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.8156538099988,144.96954576386827,"-37.8156538099988, 144.96954576386827"
115,1147302,SWD Pit - Grated OFK,Precast Concrete,930,Cast Iron,435,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.813257982444284,144.98319752249222,"-37.813257982444284, 144.98319752249222"
116,1376320,Grated Manhole,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.822146045300336,144.9719918251041,"-37.822146045300336, 144.9719918251041"
117,1472938,Junction Pit,Brick,,,,SWD Pit - Not Known,,Junction,,-37.82880466546313,144.97177816435493,"-37.82880466546313, 144.97177816435493"
118,1153601,SWD Pit - Grated Kerbside,In Situ Concrete,520,Mild Steel,350,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.819719222705444,144.95156675347408,"-37.819719222705444, 144.95156675347408"
119,1152268,SWD Pit - Not Known,Precast Concrete,0,Not Known,0,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.800256296241,144.9258769924509,"-37.800256296241, 144.9258769924509"
120,1758477,SWD Pit - Lane Type,In Situ Concrete,850,Mild Steel,840,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79732702930136,144.96561499258672,"-37.79732702930136, 144.96561499258672"
121,1364169,SWD Pit - Lane Type,Precast Concrete,730,Mild Steel,730,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.81255488551209,144.96752148906694,"-37.81255488551209, 144.96752148906694"
122,1376147,Grated Manhole,Brick,,,,SWD Pit - Not Known,,Grated Manhole,,-37.825393360176626,144.97626653690773,"-37.825393360176626, 144.97626653690773"
123,1148425,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.80741202540464,144.96899303953904,"-37.80741202540464, 144.96899303953904"
124,1511285,Junction Pit - Unclassified,,,,,,300410-000,,,-37.79689071421944,144.92464580403515,"-37.79689071421944, 144.92464580403515"
125,1142531,SWD Pit - Grated OFK,Brick,610,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.83791434040849,144.98371674944957,"-37.83791434040849, 144.98371674944957"
126,1452438,Grated Manhole,Brick,,,,SWD Pit - Not Known,,Grated Manhole,,-37.779860036163875,144.96114504356703,"-37.779860036163875, 144.96114504356703"
127,1143296,SWD Pit - Lane Type,In Situ Concrete,680,Mild Steel,680,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.815910744318735,144.9688617969079,"-37.815910744318735, 144.9688617969079"
