_id,asset_number,asset_description,construction_material_lupvalue,grate_length,grate_material_lupvalue,grate_width,model_descr_lupvalue,model_no_lupvalue,object_type_lupvalue,overflow_kerb_lupvalue,lat,lon,location
11214,1749779,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.80563380200259,144.94184163503232,"-37.80563380200259, 144.94184163503232"
11215,1153645,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.81390269853661,144.94034702461178,"-37.81390269853661, 144.94034702461178"
11216,1146660,SWD Pit - Grated Kerbside,Precast Concrete,960,Mild Steel,515,SWD Pit - Grated Kerbside Pit - 937x549 Frame and Grate,300404-002,Grated Kerbside,None,-37.7847976570043,144.9552534129677,"-37.7847976570043, 144.9552534129677"
11217,1513396,SWD Pit - Junction,Precast Concrete,,,,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.81124925009674,144.93551812344697,"-37.81124925009674, 144.93551812344697"
11218,1154758,SWD Pit - Other,Not Known,,None,,,,Other,None,-37.81449960008375,144.97979471911486,"-37.81449960008375, 144.97979471911486"
11219,1140759,SWD Pit - Grated Kerbside,In Situ Concrete,900,Mild Steel,430,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.81049399068255,144.97173434359854,"-37.81049399068255, 144.97173434359854"
11220,1580486,SWD Pit - Not Known,,,,,,300418-000,Not Known,,-37.814823203124476,144.9798046406465,"-37.814823203124476, 144.9798046406465"
11221,1144324,SWD Pit - Side Entry,In Situ Concrete,,,,SWD Pit - Side Entry Pit - Non Standard,300401-004,Side Entry,None,-37.80203281036889,144.94957037061224,"-37.80203281036889, 144.94957037061224"
11222,1141933,SWD Pit - Lane Type,Cast Iron Concrete Infill,350,Cast Iron,350,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81998860402798,144.96560682700866,"-37.81998860402798, 144.96560682700866"
11223,1144559,SWD Pit - Grated Kerbside,In Situ Concrete,900,Mild Steel,430,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.806942758426956,144.946890410114,"-37.806942758426956, 144.946890410114"
11224,1588564,SWD Pit - Junction,,,,,,,Junction,,-37.795109489678666,144.95163972689159,"-37.795109489678666, 144.95163972689159"
11225,1576956,SWD Pit - Junction,Brick,,,,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.80312188938689,144.95098427286538,"-37.80312188938689, 144.95098427286538"
11226,1562966,SWD Pit - Grated OFK,In Situ Concrete,1030,Mild Steel,510,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.82031798209197,144.94612595916257,"-37.82031798209197, 144.94612595916257"
11227,1140990,SWD Pit - Grated OFK,Brick,900,Mild Steel,430,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.81236260195859,144.96776326072407,"-37.81236260195859, 144.96776326072407"
11228,1147121,SWD Pit - Grated Kerbside,Cast Iron Concrete Infill,910,Cast Iron,430,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.81190691048811,144.9764725323726,"-37.81190691048811, 144.9764725323726"
11229,1143210,SWD Pit - Grated Kerbside,In Situ Concrete,900,Mild Steel,430,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.81760677316325,144.96393709847715,"-37.81760677316325, 144.96393709847715"
11230,1503641,Not Known,,,,,,300401-000,,,-37.82574181654804,144.969131466351,"-37.82574181654804, 144.969131466351"
11231,1140735,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.80954224753185,144.9695375918308,"-37.80954224753185, 144.9695375918308"
11232,1143020,SWD Pit - Grated OFK,In Situ Concrete,900,Mild Steel,430,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.813858487665556,144.96585963615865,"-37.813858487665556, 144.96585963615865"
11233,1143780,SWD Pit - Grated OFK,Brick,630,Mild Steel,630,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Bluestone,-37.80222137872296,144.95107946480127,"-37.80222137872296, 144.95107946480127"
11234,1147381,SWD Pit - Grated Kerbside,Cast Iron Concrete Infill,920,Cast Iron,430,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.81598900539972,144.98507151126998,"-37.81598900539972, 144.98507151126998"
11235,1144047,SWD Pit - Undershot Pit,Brick,1030,Mild Steel,630,SWD Pit - Undershot Pit - Non Standard Frame and Grate,300408-001,Undershot Pit,None,-37.7949657528879,144.9466873843785,"-37.7949657528879, 144.9466873843785"
11236,1141610,SWD Pit - Grated Side Entry,Brick,900,Mild Steel,430,SWD Pit - Grated Side Entry Pit - Non Standard Frame and Grate,300402-003,Grated Side Entry,None,-37.83133302412079,144.96608047894568,"-37.83133302412079, 144.96608047894568"
11237,1143988,SWD Pit - Lane Type,Brick,550,Mild Steel,550,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79839685093161,144.9457963614307,"-37.79839685093161, 144.9457963614307"
