id,asset_number,asset_description,construction_material_lupvalue,grate_length,grate_material_lupvalue,grate_width,model_descr_lupvalue,model_no_lupvalue,object_type_lupvalue,overflow_kerb_lupvalue,lat,lon,construction_material_group
6179,1141524,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.8232569805652,144.9649859565147,Concrete/Concrete Composite
6180,1363734,SWD Pit - Grated OFK,Not Known,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.77866553485982,144.9406946915522,Unknown
6181,1364023,SWD Pit - Not Known,Not Known,NA,NA,NA,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.793884894084634,144.93204053406453,Unknown
6182,1153909,SWD Pit - Side Entry,In Situ Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,None,-37.822675301120185,144.9489762267834,Concrete/Concrete Composite
6183,1363695,SWD Pit - Grated OFK,Not Known,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.77782472250434,144.94098257080893,Unknown
6184,1141384,SWD Pit - Side Entry,In Situ Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Large Footpath Unit,300401-002,Side Entry,None,-37.82175896876528,144.96560195262984,Concrete/Concrete Composite
6185,1148809,SWD Pit - Pipe to Pipe,Other,NA,NA,NA,SWD Pit - Pipe to Pipe,300419-000,Pipe to Pipe,None,-37.81349285664935,144.96202248482444,Other
6186,1150733,SWD Pit - System Node,Brick,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.81342686142266,144.98820730028766,Brick
6187,1599194,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.826322024910866,144.96184271744232,Concrete/Concrete Composite
6188,1146413,SWD Pit - Side Entry,Precast Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,Gatic Side Entry,-37.801234863002335,144.9118634369829,Concrete/Concrete Composite
6189,1146139,SWD Pit - Lane Type,Precast Concrete,NA,Mild Steel,NA,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.80946887420068,144.93177334558342,Concrete/Concrete Composite
6190,1149634,SWD Pit - Lane Type,In Situ Concrete,670,Mild Steel,660,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.80539499166217,144.9611851920379,Concrete/Concrete Composite
6191,1800970,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Exposed Aggregate,-37.81282289650176,144.96077173934438,Brick
6192,1142868,SWD Pit - Lane Type,In Situ Concrete,700,Mild Steel,600,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.81596446847113,144.96243139306878,Concrete/Concrete Composite
6193,1149529,SWD Pit - Submerged,Not Known,NA,NA,NA,SWD Pit - Submerged,300415-000,Submerged,None,-37.803687028346545,144.9564250705324,Unknown
6194,1150967,SWD Pit - System Node,Precast Concrete,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.81073759809605,144.9855000761061,Concrete/Concrete Composite
