sa2_5digitcode_2011,sa2_name_2011,sa3_name_2011,sa4_name_2011,gccsa_name_2011
21122,Melbourne,Melbourne City,Melbourne - Inner,Greater Melbourne
21123,North Melbourne,Melbourne City,Melbourne - Inner,Greater Melbourne
21124,Parkville,Melbourne City,Melbourne - Inner,Greater Melbourne
21125,South Yarra - West,Melbourne City,Melbourne - Inner,Greater Melbourne
21126,Southbank,Melbourne City,Melbourne - Inner,Greater Melbourne
21127,West Melbourne,Melbourne City,Melbourne - Inner,Greater Melbourne
21128,Albert Park,Port Phillip,Melbourne - Inner,Greater Melbourne
21129,Elwood,Port Phillip,Melbourne - Inner,Greater Melbourne
21130,Port Melbourne,Port Phillip,Melbourne - Inner,Greater Melbourne
21131,Port Melbourne Industrial,Port Phillip,Melbourne - Inner,Greater Melbourne
21132,South Melbourne,Port Phillip,Melbourne - Inner,Greater Melbourne
21133,St Kilda,Port Phillip,Melbourne - Inner,Greater Melbourne
21134,St Kilda East,Port Phillip,Melbourne - Inner,Greater Melbourne
21135,Armadale,Stonnington - West,Melbourne - Inner,Greater Melbourne
21136,Prahran - Windsor,Stonnington - West,Melbourne - Inner,Greater Melbourne
21137,South Yarra - East,Stonnington - West,Melbourne - Inner,Greater Melbourne
21138,Toorak,Stonnington - West,Melbourne - Inner,Greater Melbourne
21139,Abbotsford,Yarra,Melbourne - Inner,Greater Melbourne
21140,Carlton North - Princes Hill,Yarra,Melbourne - Inner,Greater Melbourne
21141,Collingwood,Yarra,Melbourne - Inner,Greater Melbourne
21142,Fitzroy,Yarra,Melbourne - Inner,Greater Melbourne
21143,Fitzroy North,Yarra,Melbourne - Inner,Greater Melbourne
21144,Richmond (Vic.),Yarra,Melbourne - Inner,Greater Melbourne
21145,Yarra - North,Yarra,Melbourne - Inner,Greater Melbourne
21146,Ashburton (Vic.),Boroondara,Melbourne - Inner East,Greater Melbourne
21147,Balwyn,Boroondara,Melbourne - Inner East,Greater Melbourne
21148,Balwyn North,Boroondara,Melbourne - Inner East,Greater Melbourne
21149,Camberwell,Boroondara,Melbourne - Inner East,Greater Melbourne
21150,Glen Iris - East,Boroondara,Melbourne - Inner East,Greater Melbourne
21151,Hawthorn,Boroondara,Melbourne - Inner East,Greater Melbourne
21152,Hawthorn East,Boroondara,Melbourne - Inner East,Greater Melbourne
21153,Kew,Boroondara,Melbourne - Inner East,Greater Melbourne
21154,Kew East,Boroondara,Melbourne - Inner East,Greater Melbourne
21155,Surrey Hills (West) - Canterbury,Boroondara,Melbourne - Inner East,Greater Melbourne
21156,Bulleen,Manningham - West,Melbourne - Inner East,Greater Melbourne
21157,Doncaster,Manningham - West,Melbourne - Inner East,Greater Melbourne
21158,Doncaster East,Manningham - West,Melbourne - Inner East,Greater Melbourne
21159,Templestowe,Manningham - West,Melbourne - Inner East,Greater Melbourne
21160,Templestowe Lower,Manningham - West,Melbourne - Inner East,Greater Melbourne
