geo_point_2d,lat,lon,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,operator,diameter,material,height_mm,mat_desc,dnstr_inv,connection_status,pipe_length_m,pipe_age_yr
"-37.827690724837, 144.95501257096817",-37.827690724837,144.95501257096817,"{""coordinates"": [[144.95505594888056, -37.82770252847734], [144.95496919305577, -37.827678921196664]], ""type"": ""LineString""}",1940-01-01,1152492,NA,1145581,1137061,0,3.20320765479337,City of Melbourne,300,Earthenware,0,Unknown,NA,Both connections recorded,8.074730121127548,86
"-37.79375363205206, 144.91911520282065",-37.79375363205206,144.91911520282065,"{""coordinates"": [[144.91897989083543, -37.79383348349445], [144.91925051480584, -37.793673780609666]], ""type"": ""LineString""}",1995-01-01,1144914,NA,1151037,1133569,0,4.51848155024207,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,29.704535063767132,31
"-37.8128477585706, 144.99078359952682",-37.8128477585706,144.99078359952682,"{""coordinates"": [[144.99077108468543, -37.81282363537254], [144.99079611436824, -37.81287188176865]], ""type"": ""LineString""}",1937-01-01,1150910,NA,1150909,1133102,0,3.15380808177997,City of Melbourne,1350,Brick,0,Brick Barrel,NA,Both connections recorded,5.790830087633127,89
"-37.81172568543206, 144.99085677315935",-37.81172568543206,144.99085677315935,"{""coordinates"": [[144.99086715025976, -37.81166677256834], [144.99084639605894, -37.81178459829579]], ""type"": ""LineString""}",1937-01-01,1147270,NA,1150906,1133098,0,3.13182960828152,City of Melbourne,375,Earthenware,0,Earthenware,NA,Both connections recorded,13.20489759449217,89
"-37.80734941022733, 144.96760400259527",-37.80734941022733,144.96760400259527,"{""coordinates"": [[144.967500514205, -37.80737992452011], [144.96770749098553, -37.80731889593455]], ""type"": ""LineString""}",1925-01-01,1148408,NA,1148409,1126815,0,2.84611793975037,City of Melbourne,300,Earthenware,0,Earthenware,NA,Both connections recorded,19.444725365336588,101
"-37.80355828678497, 144.93228244129511",-37.80355828678497,144.93228244129511,"{""coordinates"": [[144.93236146652598, -37.80358080239743], [144.93220341606423, -37.80353577117251]], ""type"": ""LineString""}",1939-01-01,1146429,NA,1146430,1130834,0,3.17941697540913,City of Melbourne,225,Earthenware,0,Earthenware,NA,Both connections recorded,14.789098833675771,87
"-37.809359407422704, 144.94933462910672",-37.809359407422704,144.94933462910672,"{""coordinates"": [[144.94936679573075, -37.80933580351302], [144.94930246248265, -37.80938301133239]], ""type"": ""LineString""}",1910-01-01,1150100,NA,1150099,1130833,0,2.51849876348638,City of Melbourne,900,Brick,0,Brick Barrel,NA,Both connections recorded,7.71677661304519,116
"-37.803889345674435, 144.9580615510672",-37.803889345674435,144.9580615510672,"{""coordinates"": [[144.9580094788381, -37.80388504935825], [144.95811362329633, -37.80389364199062]], ""type"": ""LineString""}",1920-01-01,1149525,NA,1143560,1129142,0,2.72702043802008,City of Melbourne,300,Earthenware,0,Earthenware,NA,Both connections recorded,9.221023327264689,106
"-37.80238785844439, 144.9638004424062",-37.80238785844439,144.9638004424062,"{""coordinates"": [[144.9638254279314, -37.80241586109539], [144.96377545688102, -37.80235985579339]], ""type"": ""LineString""}",1924-01-01,1148385,NA,1148339,1129138,0,2.82225853500017,City of Melbourne,375,Earthenware,0,Earthenware,NA,Both connections recorded,7.616313990740423,102
"-37.804670876079015, 144.96510113840515",-37.804670876079015,144.96510113840515,"{""coordinates"": [[144.9652164853803, -37.804683593326914], [144.96498579143002, -37.80465815883111]], ""type"": ""LineString""}",1952-01-01,1148193,NA,1149519,1129127,0,3.4889252064691,City of Melbourne,300,Earthenware,0,Earthenware,NA,Both connections recorded,20.511245788534595,74
